cell,Drug_comb,drug1,drug2,score,true_label,smile1,smile2
A375,5-FU_ABT-888_A375,5-FU,ABT-888,-1.198505438,0,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
CAOV3,5-FU_ABT-888_CAOV3,5-FU,ABT-888,-5.139971221,0,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
HT144,5-FU_ABT-888_HT144,5-FU,ABT-888,-3.701354746,0,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
HT29,5-FU_ABT-888_HT29,5-FU,ABT-888,10.17343391,1,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
LOVO,5-FU_ABT-888_LOVO,5-FU,ABT-888,-8.979213946,0,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
MSTO,5-FU_ABT-888_MSTO,5-FU,ABT-888,-1.793073865,0,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
NCIH1650,5-FU_ABT-888_NCIH1650,5-FU,ABT-888,-5.996370297,0,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
NCIH23,5-FU_ABT-888_NCIH23,5-FU,ABT-888,-5.042652306,0,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
NCIH460,5-FU_ABT-888_NCIH460,5-FU,ABT-888,-6.611947917,0,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
OV90,5-FU_ABT-888_OV90,5-FU,ABT-888,-10.06884761,0,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
RKO,5-FU_ABT-888_RKO,5-FU,ABT-888,-2.677587786,0,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
RPMI7951,5-FU_ABT-888_RPMI7951,5-FU,ABT-888,-2.17322193,0,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
SKMEL30,5-FU_ABT-888_SKMEL30,5-FU,ABT-888,-36.45922958,0,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
SKMES1,5-FU_ABT-888_SKMES1,5-FU,ABT-888,-0.086424579,0,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
SW837,5-FU_ABT-888_SW837,5-FU,ABT-888,-14.52310863,0,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
T47D,5-FU_ABT-888_T47D,5-FU,ABT-888,17.48579545,1,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
UACC62,5-FU_ABT-888_UACC62,5-FU,ABT-888,-1.583963783,0,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
ZR751,5-FU_ABT-888_ZR751,5-FU,ABT-888,-8.675317044,0,O=c1[nH]cc(F)c(=O)[nH]1,CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCCN1
A2058,5-FU_AZD1775_A2058,5-FU,AZD1775,13.05268744,1,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
A2780,5-FU_AZD1775_A2780,5-FU,AZD1775,11.27727295,1,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
CAOV3,5-FU_AZD1775_CAOV3,5-FU,AZD1775,23.98617954,1,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
ES2,5-FU_AZD1775_ES2,5-FU,AZD1775,10.05752609,1,O=c1[nH]cc(F)c(=O)[nH]1,C=CCn1c(=O)c2cnc(Nc3ccc(N4CCN(C)CC4)cc3)nc2n1-c1cccc(C(C)(C)O)n1
